addedAt,albumArtistsNames,albumName,albumPopularity,albumRecordLabel,albumReleaseDate,artistFollowers,artistName,artistPopularity,secondaryArtistsNames,trackDuration,trackFeatureAcousticness,trackFeatureDanceability,trackFeatureEnergy,trackFeatureInstrumentalness,trackFeatureKey,trackFeatureLiveness,trackFeatureLoudness,trackFeatureMode,trackFeatureSpeechiness,trackFeatureTempo,trackFeatureTimeSignature,trackFeatureValence,trackName,trackPopularity,trackIsrc,trackNumber,trackUrl,isLocal,isLikedByUser,artistUrl,artistGenres,albumUrl,albumUpc,albumType,addedBy
2023-05-03T21:43:18Z,Kyteman,Sorry (Live @ Lowlands 2009),34,Kytopia,2009-09-15,26787,Kyteman,30,,03:09,0.766,0.253,0.371,0.767,7,0.671,-9.597,0,0.0392,138.046,4,0.0827,Sorry - Live @ Lowlands 2009,41,NLEL60800019,1,https://open.spotify.com/track/6hc64mekJCLdJuRkPHggG6,stream,true,https://open.spotify.com/artist/1t0yREjD6veswRoDdXp4cK,"Dutch Indie, Jazz Rap",https://open.spotify.com/album/30nhsi5HPfb5m3217omcqD,8712488985411,single,Oskar
2023-05-03T20:48:58Z,Ibrahim Maalouf,S3NS,47,Mi'ster,2019-09-27,331692,Ibrahim Maalouf,53,Harold López-Nussa,05:38,0.728,0.463,0.672,0.743,8,0.0993,-6.071,0,0.0498,74.916,4,0.522,Una Rosa Blanca,50,FR8PH1900330,1,https://open.spotify.com/track/4MOCTiC5mMrJuhLFSNjiIM,stream,true,https://open.spotify.com/artist/0NSO0g40h9CTj13hKPskeb,"Arabic Jazz, French Jazz, Jazz Trumpet",https://open.spotify.com/album/1XWCws077Z4B9SwwUzOAfo,3760300200018,album,Oskar
2023-05-03T20:28:17Z,VHOOR,Baile & Sauce,25,Vhoor,2020-07-31,34779,VHOOR,52,,02:56,0.00749,0.742,0.709,0.0129,1,0.114,-7.251,1,0.145,172.919,4,0.71,Dela,13,USYBL2001168,2,https://open.spotify.com/track/3OGgu7upQyXjE4abQGSnOP,stream,true,https://open.spotify.com/artist/0aEDa47F4RWuk4Udm0SEoH,"Chill Baile, Trap Funk",https://open.spotify.com/album/5OLB9jFLDPW9xsGifmcNLf,810025348601,album,Oskar
2023-05-03T12:52:24Z,Little Simz,Sometimes I Might Be Introvert,0,AGE 101,2021-09-03,958804,Little Simz,64,Cleo Sol,04:29,0.712,0.531,0.648,1.91E-4,1,0.0973,-7.638,1,0.209,86.739,4,0.799,Woman,0,GBWWP2106837,2,https://open.spotify.com/track/2ruY7BpsZRwr6UUzLeDSk1,stream,true,https://open.spotify.com/artist/6eXZu6O7nAUA5z6vLV8NKI,"Alternative R&b, Escape Room, Trap Queen",https://open.spotify.com/album/0DBoWQ52XUHtrZQdfAqOVj,5056167162674,album,Oskar
2023-05-03T12:50:48Z,Antoha MC,Бросай табак,37,Антоха МС,2018-01-01,90905,Antoha MC,39,,04:31,0.201,0.808,0.449,0.00136,3,0.108,-7.855,0,0.0775,131.52,4,0.39,Бросай табак,45,QZTPX2132886,1,https://open.spotify.com/track/1fGYuRvrcChO1gnVgCulmi,stream,true,https://open.spotify.com/artist/6OqmKFaRcw0f23m5PQ9CrL,"Russian Alt Pop, Russian Indie",https://open.spotify.com/album/2Ub7dxlr0JzGEMCcOy3XCu,659506385243,single,Oskar
2023-05-03T12:49:14Z,Antoha MC,Небеса,9,Антоха МС,2017-09-04,90905,Antoha MC,39,CREAM SODA & ЛАУД,05:38,0.0225,0.684,0.857,1.86E-6,5,0.0771,-7.413,0,0.31,113.875,4,0.599,Небеса,15,TCADG1734763,1,https://open.spotify.com/track/1FBv43a0lwM1YybILfz3Js,stream,true,https://open.spotify.com/artist/6OqmKFaRcw0f23m5PQ9CrL,"Russian Alt Pop, Russian Indie",https://open.spotify.com/album/49skFZsXNyXy5vm0jEmFHn,859723069364,single,Oskar
2023-05-03T12:49:08Z,Антоха МС,Tokyё,21,Антоха МС,2019-09-12,125,Антоха МС,9,,01:00,0.0637,0.616,0.978,3.53E-5,2,0.0805,-0.75,0,0.114,94.017,4,0.329,Tokyё,29,QZHZ31963574,1,https://open.spotify.com/track/7tuvwoEMUZbxe653WmGQWE,stream,true,https://open.spotify.com/artist/0P7AKxnEAL0hi3gJa6xVmv,,https://open.spotify.com/album/1P8bLRNLMOFA6mWwp9BpFF,760655646854,single,Oskar
2023-05-03T12:48:58Z,Antoha MC,Успей познать,24,Антоха MC,2020-05-01,90905,Antoha MC,39,,03:44,0.188,0.788,0.322,0.00819,6,0.102,-10.029,0,0.171,116.997,4,0.553,Успей познать,32,QZGLS2095523,1,https://open.spotify.com/track/39HTjRcEnktwEOPyddNJoM,stream,true,https://open.spotify.com/artist/6OqmKFaRcw0f23m5PQ9CrL,"Russian Alt Pop, Russian Indie",https://open.spotify.com/album/32OhsQlJJ5OXNY5bd0jrwW,784998331239,single,Oskar
2023-05-03T12:47:48Z,Antoha MC,ЛЕТНИЙ,21,WELCOME CREW,2022-06-10,90905,Antoha MC,39,,02:37,0.0752,0.829,0.901,1.05E-5,10,0.306,-7.282,0,0.303,125.048,4,0.624,ДАЧНАЯ ВОЛНА,19,RUA1D2243137,2,https://open.spotify.com/track/3sTubVxWHAjrS1bdUrVaeQ,stream,true,https://open.spotify.com/artist/6OqmKFaRcw0f23m5PQ9CrL,"Russian Alt Pop, Russian Indie",https://open.spotify.com/album/7xmhbc8xH9541Xo6ssk6kd,5063018234732,single,Oskar
2023-05-03T12:45:47Z,Antoha MC,Школьная,12,WELCOME CREW,2022-11-11,90905,Antoha MC,39,,04:33,0.208,0.52,0.747,3.08E-6,9,0.0986,-9.182,0,0.175,147.383,4,0.569,Школьная,18,RUA1D2297950,1,https://open.spotify.com/track/6E97vZo95q2XfR4wAhp8fk,stream,true,https://open.spotify.com/artist/6OqmKFaRcw0f23m5PQ9CrL,"Russian Alt Pop, Russian Indie",https://open.spotify.com/album/6p4cl8ptIwy4nfBGCqB2Tp,5063018550757,single,Oskar
